Source,Destination,Road Length (km),Congestion Level,Travel Time (min),Weather,Alternative Routes,Suitability Score,route_type,data_note,congestion_enc,weather_enc,is_peak,quality_label
Lagos,Benin City,314.37299,Low,220.65,Rainy,3,8.36,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Good
Ibadan,Abuja,617.21315,Medium,418.55,Rainy,1,9.79,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Good
Lagos,Benin City,314.37299,Medium,220.65,Cloudy,1,7.67,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Good
Benin City,Kaduna,604.54068,Medium,445.34,Clear,3,2.35,intercity,Intercity highway data — travel times 79-810 min,1,0,0,Poor
Kaduna,Enugu,568.11855,Medium,457.49,Cloudy,0,9.6,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Good
Lagos,Port Harcourt,598.65649,High,492.15,Rainy,2,5.72,intercity,Intercity highway data — travel times 79-810 min,2,3,1,Moderate
Kano,Lagos,992.07454,Medium,656.51,Rainy,3,6.11,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Moderate
Abuja,Benin City,466.00838,High,349.05,Foggy,1,2.19,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Poor
Lagos,Benin City,314.37299,Medium,220.65,Clear,3,7.68,intercity,Intercity highway data — travel times 79-810 min,1,0,0,Good
Port Harcourt,Benin City,286.64756,High,277.63,Cloudy,0,1.19,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Poor
Benin City,Abuja,460.43211,Low,346.47,Clear,0,2.66,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Poor
Benin City,Ibadan,288.22386,Medium,223.98,Cloudy,3,8.35,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Good
Kaduna,Lagos,776.5137,High,502.93,Clear,0,4.2,intercity,Intercity highway data — travel times 79-810 min,2,0,0,Moderate
Benin City,Kaduna,604.54068,High,445.34,Clear,0,1.08,intercity,Intercity highway data — travel times 79-810 min,2,0,0,Poor
Kano,Kaduna,236.46671,High,181.36,Rainy,3,4.16,intercity,Intercity highway data — travel times 79-810 min,2,3,1,Moderate
Jos,Port Harcourt,756.55034,Medium,624.63,Rainy,1,9.77,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Good
Enugu,Jos,515.71976,Low,438.21,Cloudy,1,1.82,intercity,Intercity highway data — travel times 79-810 min,0,1,0,Poor
Jos,Kano,297.05673,Medium,271.15,Cloudy,3,2.16,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Poor
Benin City,Abuja,460.43211,Low,346.47,Rainy,0,8.67,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Good
Abuja,Port Harcourt,606.98275,Low,528.96,Rainy,3,3.3,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Poor
Abuja,Kano,422.73338,Low,322.4,Foggy,2,5.22,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Moderate
Benin City,Lagos,316.02466,Low,220.63,Clear,0,4.54,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Moderate
Abuja,Lagos,748.17526,Medium,487.99,Rainy,1,3.91,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Poor
Abuja,Enugu,365.9507,Low,342.42,Clear,1,8.66,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Good
Port Harcourt,Benin City,286.64756,Medium,277.63,Foggy,3,8.85,intercity,Intercity highway data — travel times 79-810 min,1,2,1,Good
Lagos,Port Harcourt,598.65649,Low,492.15,Foggy,3,6.26,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Moderate
Lagos,Jos,957.1304,Medium,676.55,Cloudy,0,2.44,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Poor
Port Harcourt,Benin City,286.64756,Medium,277.63,Rainy,0,4.77,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Moderate
Kaduna,Abuja,195.51477,High,158.76,Clear,0,8.96,intercity,Intercity highway data — travel times 79-810 min,2,0,0,Good
Enugu,Jos,515.71976,Low,438.21,Foggy,1,3.18,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Poor
Port Harcourt,Lagos,602.37575,High,496.52,Rainy,1,6.27,intercity,Intercity highway data — travel times 79-810 min,2,3,1,Moderate
Abuja,Kano,422.73338,High,322.4,Foggy,1,1.35,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Poor
Kano,Ibadan,865.35273,High,584.82,Cloudy,3,6.46,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Moderate
Benin City,Kaduna,604.54068,Medium,445.34,Clear,2,2.02,intercity,Intercity highway data — travel times 79-810 min,1,0,0,Poor
Kano,Lagos,992.07454,High,656.51,Rainy,0,7.42,intercity,Intercity highway data — travel times 79-810 min,2,3,1,Good
Jos,Port Harcourt,756.55034,Medium,624.63,Foggy,0,2.45,intercity,Intercity highway data — travel times 79-810 min,1,2,1,Poor
Lagos,Jos,957.1304,Medium,676.55,Cloudy,1,8.23,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Good
Benin City,Lagos,316.02466,High,220.63,Cloudy,0,1.71,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Poor
Kano,Jos,297.86287,Low,272.81,Rainy,1,3.27,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Poor
Kano,Benin City,837.51247,Low,621.12,Rainy,0,1.96,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Poor
Abuja,Lagos,748.17526,Medium,487.99,Cloudy,1,7.54,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Good
Enugu,Kaduna,567.67905,Low,459.74,Clear,0,6.36,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Moderate
Jos,Ibadan,831.54397,Medium,603.83,Rainy,3,3.79,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Poor
Lagos,Ibadan,129.68181,High,78.82,Clear,1,7.24,intercity,Intercity highway data — travel times 79-810 min,2,0,0,Good
Ibadan,Benin City,288.97126,Low,225.81,Foggy,3,5.4,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Moderate
Benin City,Enugu,247.97468,Low,197.15,Clear,2,9.76,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Good
Kano,Port Harcourt,1040.28448,Medium,810.08,Rainy,1,9.62,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Good
Jos,Kaduna,280.59371,Low,206.7,Foggy,2,1.67,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Poor
Port Harcourt,Enugu,234.03966,Medium,186.79,Rainy,3,7.78,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Good
Lagos,Jos,957.1304,Low,676.55,Foggy,3,1.78,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Poor
Benin City,Enugu,247.97468,High,197.15,Foggy,2,6.25,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Moderate
Kano,Enugu,801.37292,Low,629.28,Cloudy,3,4.08,intercity,Intercity highway data — travel times 79-810 min,0,1,0,Moderate
Benin City,Kano,837.16032,Low,614.67,Cloudy,2,5.04,intercity,Intercity highway data — travel times 79-810 min,0,1,0,Moderate
Kano,Jos,297.86287,Low,272.81,Rainy,2,3.14,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Poor
Port Harcourt,Abuja,602.36295,Low,532.3,Clear,2,1.32,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Poor
Kano,Jos,297.86287,Low,272.81,Rainy,2,6.5,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Moderate
Kano,Jos,297.86287,Low,272.81,Cloudy,2,1.05,intercity,Intercity highway data — travel times 79-810 min,0,1,0,Poor
Enugu,Ibadan,531.74483,Medium,406.38,Foggy,2,3.01,intercity,Intercity highway data — travel times 79-810 min,1,2,1,Poor
Benin City,Kaduna,604.54068,Low,445.34,Clear,3,9.36,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Good
Kaduna,Ibadan,649.79189,Medium,431.24,Clear,3,8.2,intercity,Intercity highway data — travel times 79-810 min,1,0,0,Good
Lagos,Benin City,314.37299,High,220.65,Rainy,2,6.64,intercity,Intercity highway data — travel times 79-810 min,2,3,1,Moderate
Kano,Lagos,992.07454,Medium,656.51,Cloudy,2,4.03,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Moderate
Ibadan,Lagos,130.8188,Medium,80.27,Rainy,2,6.83,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Moderate
Jos,Kano,297.05673,Medium,271.15,Foggy,1,2.37,intercity,Intercity highway data — travel times 79-810 min,1,2,1,Poor
Lagos,Enugu,558.6844,Low,404.41,Cloudy,2,6.94,intercity,Intercity highway data — travel times 79-810 min,0,1,0,Moderate
Lagos,Benin City,314.37299,Medium,220.65,Cloudy,1,8.53,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Good
Port Harcourt,Enugu,234.03966,High,186.79,Cloudy,1,2.93,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Poor
Abuja,Ibadan,621.45345,Low,416.3,Rainy,2,2.69,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Poor
Port Harcourt,Ibadan,574.57494,High,499.88,Cloudy,2,3.3,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Poor
Lagos,Benin City,314.37299,High,220.65,Foggy,3,3.37,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Poor
Jos,Enugu,515.51829,High,438.09,Foggy,2,1.31,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Poor
Jos,Abuja,232.62361,Low,217.8,Clear,3,5.03,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Moderate
Enugu,Port Harcourt,236.16038,Medium,190.99,Cloudy,0,6.19,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Moderate
Jos,Kano,297.05673,Low,271.15,Rainy,3,4.81,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Moderate
Abuja,Ibadan,621.45345,Low,416.3,Foggy,0,7.94,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Good
Port Harcourt,Lagos,602.37575,High,496.52,Rainy,2,6.48,intercity,Intercity highway data — travel times 79-810 min,2,3,1,Moderate
Kaduna,Ibadan,649.79189,High,431.24,Cloudy,0,2.63,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Poor
Port Harcourt,Jos,749.66504,Low,624.64,Clear,3,5.98,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Moderate
Benin City,Port Harcourt,285.48322,High,274.55,Clear,1,9.76,intercity,Intercity highway data — travel times 79-810 min,2,0,0,Good
Jos,Abuja,232.62361,Medium,217.8,Rainy,3,9.65,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Good
Enugu,Lagos,559.54563,High,403.02,Foggy,1,9.23,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Good
Lagos,Abuja,743.50499,Low,490.07,Clear,1,2.17,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Poor
Kano,Kaduna,236.46671,Low,181.36,Foggy,0,2.42,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Poor
Abuja,Kaduna,190.11374,Medium,153.07,Cloudy,1,5.8,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Moderate
Abuja,Kaduna,190.11374,Medium,153.07,Cloudy,0,7.17,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Good
Abuja,Lagos,748.17526,High,487.99,Clear,0,5.5,intercity,Intercity highway data — travel times 79-810 min,2,0,0,Moderate
Ibadan,Lagos,130.8188,Low,80.27,Cloudy,0,6.49,intercity,Intercity highway data — travel times 79-810 min,0,1,0,Moderate
Port Harcourt,Enugu,234.03966,Low,186.79,Foggy,3,5.57,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Moderate
Enugu,Kaduna,567.67905,Medium,459.74,Foggy,1,8.86,intercity,Intercity highway data — travel times 79-810 min,1,2,1,Good
Port Harcourt,Kaduna,803.02425,High,639.59,Cloudy,1,6.03,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Moderate
Kaduna,Enugu,568.11855,Low,457.49,Clear,2,1.33,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Poor
Abuja,Enugu,365.9507,Medium,342.42,Clear,0,9.73,intercity,Intercity highway data — travel times 79-810 min,1,0,0,Good
Port Harcourt,Jos,749.66504,High,624.64,Cloudy,1,5.66,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Moderate
Lagos,Enugu,558.6844,Medium,404.41,Cloudy,0,5.23,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Moderate
Jos,Lagos,958.26578,Medium,675.52,Clear,2,9.11,intercity,Intercity highway data — travel times 79-810 min,1,0,0,Good
Jos,Abuja,232.62361,High,217.8,Clear,3,5.42,intercity,Intercity highway data — travel times 79-810 min,2,0,0,Moderate
Ibadan,Benin City,288.97126,Low,225.81,Clear,2,8.74,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Good
Enugu,Benin City,248.85382,High,200.88,Cloudy,0,3.67,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Poor
Jos,Ibadan,831.54397,Low,603.83,Clear,0,7.37,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Good
Benin City,Kano,837.16032,High,614.67,Clear,0,8.45,intercity,Intercity highway data — travel times 79-810 min,2,0,0,Good
Kaduna,Enugu,568.11855,Low,457.49,Rainy,2,3.62,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Poor
Jos,Lagos,958.26578,Low,675.52,Cloudy,3,3.88,intercity,Intercity highway data — travel times 79-810 min,0,1,0,Poor
Port Harcourt,Abuja,602.36295,High,532.3,Cloudy,1,4.28,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Moderate
Lagos,Kaduna,772.26224,High,501.65,Foggy,2,5.83,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Moderate
Lagos,Kaduna,772.26224,Medium,501.65,Clear,3,8.41,intercity,Intercity highway data — travel times 79-810 min,1,0,0,Good
Jos,Kano,297.05673,High,271.15,Cloudy,0,2.45,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Poor
Port Harcourt,Ibadan,574.57494,Low,499.88,Foggy,0,1.7,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Poor
Enugu,Kaduna,567.67905,High,459.74,Foggy,2,8.97,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Good
Lagos,Ibadan,129.68181,Medium,78.82,Rainy,1,4.32,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Moderate
Kaduna,Jos,279.96749,Medium,205.82,Foggy,0,3.56,intercity,Intercity highway data — travel times 79-810 min,1,2,1,Poor
Port Harcourt,Enugu,234.03966,Low,186.79,Rainy,2,3.31,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Poor
Lagos,Abuja,743.50499,Low,490.07,Foggy,0,3.74,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Poor
Kano,Benin City,837.51247,Medium,621.12,Cloudy,0,6.14,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Moderate
Benin City,Enugu,247.97468,High,197.15,Clear,3,4.06,intercity,Intercity highway data — travel times 79-810 min,2,0,0,Moderate
Kano,Jos,297.86287,Medium,272.81,Rainy,3,3.24,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Poor
Jos,Kaduna,280.59371,High,206.7,Clear,3,3.98,intercity,Intercity highway data — travel times 79-810 min,2,0,0,Poor
Jos,Lagos,958.26578,Medium,675.52,Rainy,2,9.85,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Good
Port Harcourt,Kaduna,803.02425,High,639.59,Clear,2,2.91,intercity,Intercity highway data — travel times 79-810 min,2,0,0,Poor
Kano,Benin City,837.51247,High,621.12,Foggy,3,7.71,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Good
Port Harcourt,Benin City,286.64756,Medium,277.63,Rainy,3,8.23,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Good
Abuja,Port Harcourt,606.98275,Medium,528.96,Foggy,3,2.87,intercity,Intercity highway data — travel times 79-810 min,1,2,1,Poor
Enugu,Ibadan,531.74483,High,406.38,Foggy,2,5.31,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Moderate
Ibadan,Port Harcourt,573.25476,Medium,497.31,Rainy,1,2.26,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Poor
